seed,scenario,population,name,budget,alarms,n_episodes,detected,median_lead_d,worst_lead_d,mean_lead_d,precision,median_capture,worst_capture,false_alerts_per_asset_month,evaluation,missed,expected_asset_days,score_fraction,threshold
20260912,clean,whole_fleet,mahalanobis,72,5,3,2,3.218623436851852,0.0,3.218623436851852,0.6,0.10344861433865021,0.0,0.06944444444444445,chronological_replay,1,864,0.9861111111111112,1668.5741905197326
20260912,clean,whole_fleet,isolation_forest,72,11,3,3,5.194703228321759,2.4147880199189817,6.210650034008488,0.6363636363636364,0.16105043559364232,0.11082356990961942,0.1388888888888889,chronological_replay,0,864,0.9861111111111112,0.7721346777036948
20260912,clean,affected_assets,raw,72,2,1,1,3.1947032283217593,3.1947032283217593,3.1947032283217593,1.0,0.09904480080950759,0.09904480080950759,0.0,chronological_replay,0,216,1.0,4.882424097842373
20260912,clean,affected_assets,directional,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,1.0,34.70420721358954
20260912,clean,affected_assets,mahalanobis,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,1.0,1668.5741905197326
20260912,clean,affected_assets,isolation_forest,72,3,1,1,5.194703228321759,5.194703228321759,5.194703228321759,0.6666666666666666,0.16105043559364232,0.16105043559364232,0.1388888888888889,chronological_replay,0,216,1.0,0.7721346777036948
20260912,missing_channel,whole_fleet,raw,72,4,3,1,6.022458853784722,0.0,6.022458853784722,0.75,0.0,0.0,0.034722222222222224,chronological_replay,2,864,0.7361111111111112,4.882424097842373
20260912,missing_channel,whole_fleet,directional,72,5,3,2,2.7186234368518516,0.0,2.7186234368518516,0.6,0.06492986454274514,0.0,0.06944444444444445,chronological_replay,1,864,0.7361111111111112,34.70420721358954
20260912,missing_channel,whole_fleet,mahalanobis,72,5,3,2,3.218623436851852,0.0,3.218623436851852,0.6,0.10344861433865021,0.0,0.06944444444444445,chronological_replay,1,864,0.7361111111111112,1668.5741905197326
20260912,missing_channel,whole_fleet,isolation_forest,72,8,3,2,6.7186234368518525,0.0,6.7186234368518525,0.625,0.11082356990961942,0.0,0.10416666666666666,chronological_replay,1,864,0.7361111111111112,0.7721346777036948
20260912,missing_channel,affected_assets,raw,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,4.882424097842373
20260912,missing_channel,affected_assets,directional,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,34.70420721358954
20260912,missing_channel,affected_assets,mahalanobis,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,1668.5741905197326
20260912,missing_channel,affected_assets,isolation_forest,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,0.7721346777036948
20260912,sensor_offset,whole_fleet,raw,72,64,3,2,5.108581041053241,0.0,5.108581041053241,0.078125,0.13004761820157495,0.0,2.048611111111111,chronological_replay,1,864,0.9861111111111112,4.882424097842373
20260912,sensor_offset,whole_fleet,directional,72,6,3,2,2.7186234368518516,0.0,2.7186234368518516,0.5,0.06492986454274514,0.0,0.10416666666666666,chronological_replay,1,864,0.9861111111111112,34.70420721358954
20260912,sensor_offset,whole_fleet,mahalanobis,72,7,3,3,2.4147880199189817,1.1947032283217591,2.5439833673418213,0.5714285714285714,0.10344861433865021,0.037039166025372855,0.10416666666666666,chronological_replay,0,864,0.9861111111111112,1668.5741905197326
20260912,sensor_offset,whole_fleet,isolation_forest,72,11,3,3,5.194703228321759,2.4147880199189817,6.210650034008488,0.6363636363636364,0.16105043559364232,0.11082356990961942,0.1388888888888889,chronological_replay,0,864,0.9861111111111112,0.7721346777036948
20260912,sensor_offset,affected_assets,raw,72,60,1,1,4.194703228321759,4.194703228321759,4.194703228321759,0.03333333333333333,0.13004761820157495,0.13004761820157495,8.055555555555555,chronological_replay,0,216,1.0,4.882424097842373
20260912,sensor_offset,affected_assets,directional,72,1,1,0,,0.0,,0.0,0.0,0.0,0.1388888888888889,chronological_replay,1,216,1.0,34.70420721358954
20260912,sensor_offset,affected_assets,mahalanobis,72,2,1,1,1.1947032283217591,1.1947032283217591,1.1947032283217591,0.5,0.037039166025372855,0.037039166025372855,0.1388888888888889,chronological_replay,0,216,1.0,1668.5741905197326
20260912,sensor_offset,affected_assets,isolation_forest,72,3,1,1,5.194703228321759,5.194703228321759,5.194703228321759,0.6666666666666666,0.16105043559364232,0.16105043559364232,0.1388888888888889,chronological_replay,0,216,1.0,0.7721346777036948
20260912,unsupported_context,whole_fleet,raw,72,4,3,1,6.022458853784722,0.0,6.022458853784722,0.75,0.0,0.0,0.034722222222222224,chronological_replay,2,864,0.7361111111111112,4.882424097842373
20260912,unsupported_context,whole_fleet,directional,72,5,3,2,2.7186234368518516,0.0,2.7186234368518516,0.6,0.06492986454274514,0.0,0.06944444444444445,chronological_replay,1,864,0.7361111111111112,34.70420721358954
20260912,unsupported_context,whole_fleet,mahalanobis,72,5,3,2,3.218623436851852,0.0,3.218623436851852,0.6,0.10344861433865021,0.0,0.06944444444444445,chronological_replay,1,864,0.7361111111111112,1668.5741905197326
20260912,unsupported_context,whole_fleet,isolation_forest,72,8,3,2,6.7186234368518525,0.0,6.7186234368518525,0.625,0.11082356990961942,0.0,0.10416666666666666,chronological_replay,1,864,0.7361111111111112,0.7721346777036948
20260912,unsupported_context,affected_assets,raw,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,4.882424097842373
20260912,unsupported_context,affected_assets,directional,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,34.70420721358954
20260912,unsupported_context,affected_assets,mahalanobis,72,0,1,0,,0.0,,0.0,0.0,0.0,0.0,chronological_replay,1,216,0.0,1668.5741905197326
